"review_id","image_path","source_image_id","proposed_class","dataset_a_class_id","dataset_a_class_name","source_question","source_answer","perceptual_group_id","review_status","review_notes","review_label"
"B6-0137","traffic512final/img_0635.jpg","img_0635.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0569","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0138","traffic512final/img_0653.jpg","img_0653.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0587","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0139","traffic512final/img_0663.jpg","img_0663.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0597","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0140","traffic512final/img_0681.jpg","img_0681.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0615","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0141","traffic512final/img_0693.jpg","img_0693.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0627","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0142","traffic512final/img_0704.jpg","img_0704.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0638","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0143","traffic512final/img_0727.jpg","img_0727.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0661","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0144","traffic512final/img_0729.jpg","img_0729.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0663","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0145","traffic512final/img_0741.jpg","img_0741.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0675","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0146","traffic512final/img_0751.jpg","img_0751.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0663","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0147","traffic512final/img_0753.jpg","img_0753.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0674","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
